Frame 56: X=82, Y=37, Radius=34
Frame 57: X=306, Y=58, Radius=8
Frame 57: X=213, Y=58, Radius=8
Frame 57: X=213, Y=34, Radius=8
Frame 57: X=156, Y=46, Radius=48
Frame 57: X=393, Y=39, Radius=40
Frame 57: X=334, Y=39, Radius=27
Frame 57: X=278, Y=38, Radius=26
Frame 57: X=82, Y=37, Radius=34
Frame 58: X=306, Y=58, Radius=8
Frame 58: X=213, Y=58, Radius=8
Frame 58: X=213, Y=34, Radius=8
Frame 58: X=413, Y=46, Radius=21
Frame 58: X=156, Y=46, Radius=48
Frame 58: X=376, Y=37, Radius=29
Frame 58: X=334, Y=39, Radius=27
Frame 58: X=278, Y=38, Radius=26
Frame 58: X=82, Y=37, Radius=34
Frame 59: X=305, Y=57, Radius=8
Frame 59: X=213, Y=58, Radius=8
Frame 59: X=213, Y=34, Radius=8
Frame 59: X=156, Y=46, Radius=48
Frame 59: X=373, Y=42, Radius=58
Frame 59: X=276, Y=40, Radius=29
Frame 59: X=82, Y=37, Radius=34
Frame 60: X=305, Y=57, Radius=8
Frame 60: X=213, Y=58, Radius=8
Frame 60: X=213, Y=34, Radius=8
Frame 60: X=156, Y=46, Radius=48
Frame 60: X=373, Y=42, Radius=58
Frame 60: X=276, Y=40, Radius=29
Frame 60: X=82, Y=37, Radius=34
Frame 61: X=305, Y=57, Radius=8
Frame 61: X=213, Y=58, Radius=8
Frame 61: X=213, Y=34, Radius=8
Frame 61: X=413, Y=46, Radius=21
Frame 61: X=156, Y=46, Radius=48
Frame 61: X=376, Y=37, Radius=29
Frame 61: X=336, Y=39, Radius=27
Frame 61: X=276, Y=40, Radius=29
Frame 61: X=82, Y=37, Radius=34
Frame 62: X=305, Y=57, Radius=8
Frame 62: X=213, Y=58, Radius=8
Frame 62: X=213, Y=34, Radius=8
Frame 62: X=156, Y=46, Radius=48
Frame 62: X=394, Y=39, Radius=39
Frame 62: X=338, Y=38, Radius=26
Frame 62: X=276, Y=40, Radius=29
Frame 62: X=82, Y=37, Radius=34
Frame 63: X=305, Y=57, Radius=8
Frame 63: X=213, Y=58, Radius=8
Frame 63: X=213, Y=34, Radius=8
Frame 63: X=156, Y=46, Radius=48
Frame 63: X=393, Y=39, Radius=40
Frame 63: X=338, Y=38, Radius=26
Frame 63: X=276, Y=40, Radius=29
Frame 63: X=82, Y=37, Radius=34
Frame 64: X=305, Y=57, Radius=8
Frame 64: X=213, Y=58, Radius=8
Frame 64: X=213, Y=34, Radius=8
Frame 64: X=413, Y=46, Radius=21
Frame 64: X=156, Y=46, Radius=48
Frame 64: X=376, Y=37, Radius=29
Frame 64: X=338, Y=38, Radius=26
Frame 64: X=276, Y=40, Radius=29
Frame 64: X=82, Y=37, Radius=34
Frame 65: X=305, Y=57, Radius=8
Frame 65: X=213, Y=58, Radius=8
Frame 65: X=213, Y=34, Radius=8
Frame 65: X=156, Y=46, Radius=48
Frame 65: X=394, Y=39, Radius=39
Frame 65: X=336, Y=40, Radius=29
Frame 65: X=276, Y=40, Radius=29
Frame 65: X=82, Y=37, Radius=34
Frame 66: X=305, Y=57, Radius=8
Frame 66: X=213, Y=58, Radius=8
Frame 66: X=213, Y=34, Radius=8
Frame 66: X=156, Y=46, Radius=48
Frame 66: X=393, Y=39, Radius=40
Frame 66: X=336, Y=40, Radius=29
Frame 66: X=276, Y=40, Radius=29
Frame 66: X=82, Y=37, Radius=34
Frame 67: X=305, Y=57, Radius=8
Frame 67: X=213, Y=58, Radius=8
Frame 67: X=213, Y=34, Radius=8
Frame 67: X=413, Y=46, Radius=21
Frame 67: X=156, Y=46, Radius=48
Frame 67: X=376, Y=37, Radius=29
Frame 67: X=336, Y=40, Radius=29
Frame 67: X=276, Y=40, Radius=29
Frame 67: X=82, Y=37, Radius=34
Frame 68: X=305, Y=57, Radius=8
Frame 68: X=213, Y=58, Radius=8
Frame 68: X=213, Y=34, Radius=8
Frame 68: X=156, Y=46, Radius=48
Frame 68: X=373, Y=40, Radius=58
Frame 68: X=276, Y=40, Radius=29
Frame 68: X=82, Y=37, Radius=34
Frame 69: X=305, Y=57, Radius=8
Frame 69: X=213, Y=58, Radius=8
Frame 69: X=213, Y=34, Radius=8
Frame 69: X=156, Y=46, Radius=48
Frame 69: X=373, Y=40, Radius=58
Frame 69: X=276, Y=40, Radius=29
Frame 69: X=82, Y=37, Radius=34
Frame 70: X=305, Y=57, Radius=8
Frame 70: X=213, Y=58, Radius=8
Frame 70: X=213, Y=34, Radius=8
Frame 70: X=413, Y=46, Radius=21
Frame 70: X=156, Y=46, Radius=48
Frame 70: X=376, Y=37, Radius=29
Frame 70: X=336, Y=38, Radius=29
Frame 70: X=276, Y=40, Radius=29
Frame 70: X=82, Y=37, Radius=34
Frame 71: X=305, Y=57, Radius=8
Frame 71: X=213, Y=58, Radius=8
Frame 71: X=213, Y=34, Radius=8
Frame 71: X=156, Y=46, Radius=48
Frame 71: X=373, Y=46, Radius=57
Frame 71: X=276, Y=40, Radius=29
Frame 71: X=82, Y=37, Radius=34
Frame 72: X=305, Y=57, Radius=8
Frame 72: X=213, Y=58, Radius=8
Frame 72: X=213, Y=34, Radius=8
Frame 72: X=156, Y=46, Radius=48
Frame 72: X=373, Y=46, Radius=57
Frame 72: X=276, Y=40, Radius=29
Frame 72: X=82, Y=37, Radius=34
Frame 73: X=305, Y=57, Radius=8
Frame 73: X=213, Y=58, Radius=8
Frame 73: X=213, Y=34, Radius=8
Frame 73: X=413, Y=46, Radius=21
Frame 73: X=156, Y=46, Radius=48
Frame 73: X=376, Y=37, Radius=29
Frame 73: X=341, Y=38, Radius=26
Frame 73: X=276, Y=40, Radius=29
Frame 73: X=82, Y=37, Radius=34
Frame 74: X=305, Y=57, Radius=8
Frame 74: X=213, Y=58, Radius=8
Frame 74: X=213, Y=34, Radius=8
Frame 74: X=156, Y=46, Radius=48
Frame 74: X=373, Y=40, Radius=58
Frame 74: X=276, Y=40, Radius=29
Frame 74: X=82, Y=37, Radius=34
Frame 75: X=305, Y=57, Radius=8
Frame 75: X=213, Y=58, Radius=8
Frame 75: X=213, Y=34, Radius=8
Frame 75: X=156, Y=46, Radius=48
Frame 75: X=373, Y=40, Radius=58
Frame 75: X=276, Y=40, Radius=29
Frame 75: X=82, Y=37, Radius=34
Frame 76: X=305, Y=57, Radius=8
Frame 76: X=213, Y=58, Radius=8
Frame 76: X=213, Y=34, Radius=8
Frame 76: X=413, Y=46, Radius=21
Frame 76: X=156, Y=46, Radius=48
Frame 76: X=376, Y=37, Radius=29
Frame 76: X=335, Y=38, Radius=28
Frame 76: X=276, Y=40, Radius=29
Frame 76: X=82, Y=37, Radius=34
Frame 77: X=305, Y=57, Radius=8
Frame 77: X=213, Y=58, Radius=8
Frame 77: X=213, Y=34, Radius=8
Frame 77: X=156, Y=46, Radius=48
Frame 77: X=374, Y=40, Radius=57
Frame 77: X=276, Y=40, Radius=29
Frame 77: X=82, Y=37, Radius=34
Frame 78: X=305, Y=57, Radius=8
Frame 78: X=213, Y=58, Radius=8
Frame 78: X=213, Y=34, Radius=8
Frame 78: X=156, Y=46, Radius=48
Frame 78: X=374, Y=40, Radius=57
Frame 78: X=276, Y=40, Radius=29
Frame 78: X=82, Y=37, Radius=34
Frame 79: X=305, Y=57, Radius=8
Frame 79: X=213, Y=58, Radius=8
Frame 79: X=213, Y=34, Radius=8
Frame 79: X=413, Y=46, Radius=21
Frame 79: X=156, Y=46, Radius=48
Frame 79: X=376, Y=37, Radius=29
Frame 79: X=338, Y=39, Radius=27
Frame 79: X=276, Y=40, Radius=29
Frame 79: X=82, Y=37, Radius=34
Frame 80: X=305, Y=57, Radius=8
Frame 80: X=213, Y=58, Radius=8
Frame 80: X=213, Y=34, Radius=8
Frame 80: X=156, Y=46, Radius=48
Frame 80: X=394, Y=39, Radius=39
Frame 80: X=336, Y=37, Radius=29
Frame 80: X=276, Y=40, Radius=29
Frame 80: X=82, Y=37, Radius=34
Frame 81: X=305, Y=57, Radius=8
Frame 81: X=213, Y=58, Radius=8
Frame 81: X=213, Y=34, Radius=8
Frame 81: X=156, Y=46, Radius=48
Frame 81: X=393, Y=39, Radius=40
